person_x,kinsman,person_gender,kinsman_gender,ontology_kinship
parakoimomenos,"Leontios, kathegoumenos of the Nea church and nephew of the parakoimomenos",Male,Male,UncleOf
praipositos,"Leon, nephew of the praipositos",Male,Male,UncleOf
Proteuon (proteuon ?),"Nikolaos, chartoularios, nephew of Proteuon (the proteuon ?)",Male,Male,UncleOf
"Maleses, imperial notarios","Ioannes, (nephew ?) of Maleses",Male,Male,UncleOf
archbishop of Anchialos,"Michael III of Anchialos, patriarch of Constantinople",Male,,UncleOf
bishop of Madyta,Ioannes ho tou Madyton (nephew of the bishop or metropolitan of Madyta),Male,Male,UncleOf
metropolitan of Methymna,Ioannes ho tou Methymnes,Male,Male,UncleOf
metropolitan of Methymna,Ioannes ho tou Methymnes,Male,Male,UncleOf
metropolitan of Nicaea,Gregorios ho tou Nikaias (nephew of the metropolitan of Nicaea),Male,Male,UncleOf
metropolitan of Nikomedeia,"Nikolaos ho tou Nikomedeias (man, or nephew of the metropolitan of Nikomedeia)",Male,Male,UncleOf
"Theodoulos, hegoumenos of Xylourgou on Athos","Ioannikios, hegoumenos of Xylourgou on Athos",Male,Male,UncleOf
"metropolitan of Klaudioupolis, uncle of Ioannes Mauropous","Ioannes Mauropous, metropolitan of Euchaita",Male,Male,UncleOf
"Georgios, bishop of Hierissos","Georgios, nephew of bishop Georgios of Hierissos",Male,Male,UncleOf
"Arnulf of Choques, Latin patriarch of Jerusalem","Emelota, wife of Eustace Garnier",Male,,UncleOf
"Baldwin of Boulogne, Baldwin I, king of Jerusalem","Simon, nephew of Baldwin I",Male,,UncleOf
"Baldwin of Bourcq, Baldwin II, king of Jerusalem",nephew of Baldwin II of Jerusalem,Male,,UncleOf
Abu-l-fath (compilation of Alp Arslan and Malik Shah),Duqaq ibn Tutush of Damascus,Male,Male,UncleOf
"Godfrey Struma (the Hunchback), duke of Lorraine","Godfrey of Bouillon, duke of Lower Lorraine, first Latin ruler of Jerusalem",Male,Male,UncleOf
"Raymond of Saint-Gilles, count of Toulouse","William Jordan, count of Cerdagne",Male,Male,UncleOf
"Robert [Curthose], count [duke] of Normandy","Stephen, count of Aumale",Male,Male,UncleOf
"William of Bures, lord of Tiberias","Agnes, niece of William lord of Tiberias",Male,,UncleOf
Najm al-Din Ilghazi ibn Artuq,"Yaquti, besieged by Fatimids in Jerusalem",Male,,UncleOf
Najm al-Din Ilghazi ibn Artuq,Balak ibn Bahram ibn Artuq,Male,Male,UncleOf
"Bolkan, Dalmatian leader","Ouresis, Dalmatian hostage of Alexios I Komnenos",Male,Male,UncleOf
"Bolkan, Dalmatian leader","Stephanos Bolkan, Dalmatian hostage of Alexios Komnenos",Male,Male,UncleOf
Gorgoploutos,nephew of Gorgoploutos,Male,Male,UncleOf
droungarios,nephew of a droungarios,Male,Male,UncleOf
man who bought a ruin from Promytes monastery,nephew of man who bought a ruin from Promytes monastery,Male,Male,UncleOf
"Anthimos, primikerios",nephew of koiaistor Anthimos,Eunuch,Male,UncleOf
"Paulos, stratiotikos","Ioannes, epitropos in the will of stratiotikos Paulos",Male,Male,UncleOf
"Petros/Peter Getadarj, katholikos of Armenia","Xach'ik I Anec'i, Armenian katholikos",Male,Male,UncleOf
bishop of Skamandros (?),"Niketas, maistor of the school of Hagios Petros",Male,Male,UncleOf
uncle of Georgios (correspondent of Michael Psellos),"Georgios, correspondent of Michael Psellos",Male,Male,UncleOf
uncle of Pothos (son of the droungarios),"Pothos, vestarches and cousin of Michael Psellos",Male,Male,UncleOf
Nikolaos Skleros,"Anastasios Lizix, patrikios, krites and vestarches",Male,Male,UncleOf
"Suqman ibn Artuq, ex-ruler of Jerusalem","Yaquti, besieged by Fatimids in Jerusalem",Male,,UncleOf
"Suqman ibn Artuq, ex-ruler of Jerusalem","nephew of Suqman ibn Artuq, killed by Chokurmish",Male,,UncleOf
maternal uncle of Nikephoros Basilakes,"Nikephoros Basilakios, writer involved in doctrinal disputes",,,UncleOf
"brother of Scythian woman, mother of Bagoas",Bagoas (false name),,,UncleOf
'Izz al-Din Abu l-'Asakir Sultan,Usama b. Munqidh,,,UncleOf
"Mawdud ibn Isma'il, ruler of part of Azerbayjan","Barkyaruq, Seljuq sultan",,,UncleOf
Baktash ibn Tutush,"Tutush, son of Duqaq of Damascus",,,UncleOf
Emperor Romanos III Argyros,"Helena, niece of Romanos III, wife of Bagrat IV of Georgia",Male,Female,UncleOf
Emperor Romanos III Argyros,"niece of Romanos III, wife of Ioannes Smbat of Armenia",Male,Female,UncleOf
Emperor Romanos III Argyros,"niece of Romanos III, wife of Konstantinos Diogenes and mother of Romanos IV",Male,Female,UncleOf
Emperor Romanos III Argyros,"second wife of Konstantinos IX, aunt of Maria Skleraina",Male,Female,UncleOf
"Adrianos Komnenos, brother of Alexios I","Ioannes Komnenos, father of Alexios I",Male,Male,SonOf
"Adrianos Komnenos, brother of Alexios I","Zoe Doukaina, daughter of Konstantinos X",Male,Female,PartnerOf
"Konstantinos Doukas porphyrogennetos, son of Michael VII","Anna Komnene, daughter of Alexios I and historian",Male,Female,PartnerOf
son of Basileios Kalokairos,daughter of Theodoros Karmalikios,Male,Female,PartnerOf
"Gregorios Gabras, son of Theodoros Gabras",daughter (Maria?) of Isaakios Komnenos (brother of Alexios I),Male,Female,PartnerOf
Emperor Konstantinos VIII,"Helena, wife of Konstantinos VIII",Male,Female,HusbandOf
"Adrianos Komnenos, brother of Alexios I","Zoe Doukaina, daughter of Konstantinos X",Male,Female,HusbandOf
Emperor Alexios I Komnenos,"Eirene Doukaina, wife of Alexios I",Male,Female,HusbandOf
Emperor Alexios I Komnenos,"first wife of Alexios I Komnenos, daughter of an Argyros",Male,Female,HusbandOf
"Alousianos, son of Ioannes/John Vladislav",wife of Alousianos,Male,Female,HusbandOf
"Amer, son of the ruler of Aleppo","wife of Amer, amir of Egypt",Male,Female,HusbandOf
"Amer, amir of Egypt","wife of Amer, amir of Egypt",Male,Female,HusbandOf
"Andronikos Doukas, son of the kaisar Ioannes","Maria of Bulgaria, wife of Andronikos Doukas",Male,Female,HusbandOf
child (son?) of Romanos IV,child (daughter?) of Alp Arslan,Male,Female,HusbandOf
"Longibardopoulos, ally of the Serbs in 1072","daughter of Michaelas, wife of Longibardopoulos",Male,Female,HusbandOf
"Geza I, king of Hungary","Synadene, wife of kral of Hungary",Male,Female,HusbandOf
"Skleros, father of Maria Skleraina",mother of Maria Skleraina,Male,Female,HusbandOf
"Malapetzes (Malapezza), defender of Otranto","wife of Malapetzes, defender of Otranto",Male,Female,HusbandOf
prominent Constantinopolitan krites,wife of prominent Constantinopolitan krites,Male,Female,HusbandOf
"Apospharios, slave of Eustathios Boilas","Selegno, servant of Eustathios Boilas",Male,Female,HusbandOf
"Bagrat IV, king of Georgia","Helena, niece of Romanos III, wife of Bagrat IV of Georgia",Male,Female,HusbandOf
"Basileios Skleros, son of Romanos Skleros","Poulcheria (Argyropoulina), sister of Romanos III",Male,Female,HusbandOf
"Basileios, son of Semne, a servant of Eustathios Boilas","wife of Basileios, in the household of Eustathios Boilas",Male,Female,HusbandOf
Bohemond of Taranto,"Constance, daughter of Philip I of France, wife of Bohemond of Taranto",Male,Female,HusbandOf
"Dobronas, ruler of Zadar and Split","wife of Dobronas, ruler of Zara and Salona",Male,Female,HusbandOf
Eustathios Boilas,"Anna, wife of Eustathios Boilas",Male,Female,HusbandOf
"Gagik II, king of Armenia","wife of Gagik II, sister of David of Dvin",Male,Female,HusbandOf
"Gagik II, king of Armenia","wife of Gagik II, daughter of Dawit' Arcruni",Male,Female,HusbandOf
Georgios Palaiologos,"Anna Doukaina, sister of Eirene Doukaina and wife of Georgios Palaiologos",Male,Female,HusbandOf
"Georgios/Giorgi I, king of Abchasia and Georgia","Mariam, wife of Giorgi I of Abchasia/Georgia",Male,Female,HusbandOf
"Georgios/Giorgi I, king of Abchasia and Georgia","Alde, wife of Giorgi I of Abchasia/Georgia",Male,Female,HusbandOf
"Georgios/Giorgi I, king of Abchasia and Georgia",wife of Giorgi (I?) of Abchasia (Maria?),Male,Female,HusbandOf
"Georgios, tax-payer at chorion of Dobrobikeia","Dragola, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
"Georgios, tax-payer at chorion of Dobrobikeia","Eirene, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
"Georgios, tax-payer at chorion of Dobrobikeia","Ioanno, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
"Georgios, tax-payer at chorion of Dobrobikeia","Martha, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
"Gostelos Ezebetes, tax-payer at Dobrobikeia","Anastasia, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
"Gregorios, son-in-law of Eustathios Boilas","Eirene, daughter of Eustathios Boilas",Male,Female,HusbandOf
"Gregorios, servant of Eustathios Boilas","Theodora, wife of Gregorios servant of Eustathios Boilas",Male,Female,HusbandOf
"al-Hakim, Fatimid caliph","wife of al-Hakim, mother of Fatimid caliph Zahir",Male,Female,HusbandOf
Emperor Ioannes II Komnenos,"Eirene-Piroska, wife of Ioannes II Komnenos",Male,,HusbandOf
"Ioannes Doukas, kaisar","Eirene Pegonitissa, wife of Ioannes the kaisar",Male,Female,HusbandOf
"Ioannes Komnenos, father of Alexios I",Anna Dalassene,Male,Female,HusbandOf
"Ioannes Smbat, king of Armenia","niece of Romanos III, wife of Ioannes Smbat of Armenia",Male,Female,HusbandOf
"Ioannes, tax-payer at chorion of Dobrobikeia","Theodora, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
"Ioannes, tax-payer at chorion of Dobrobikeia","Deadole, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
Emperor Isaakios I Komnenos,"Aikaterine of Bulgaria, wife of Isaakios I Komnenos",Male,Female,HusbandOf
"Isaakios Komnenos, elder brother of Alexios I","Eirene of Alania, wife of Isaakios Komnenos (brother of Alexios I)",Male,Female,HusbandOf
Emperor Konstantinos IX Monomachos,Empress Zoe,Male,Female,HusbandOf
Emperor Konstantinos IX Monomachos,first wife of Konstantinos IX Monomachos,Male,Female,HusbandOf
Emperor Konstantinos IX Monomachos,"second wife of Konstantinos IX, aunt of Maria Skleraina",Male,Female,HusbandOf
Emperor Konstantinos X Doukas,Empress Eudokia Makrembolitissa,Male,Female,HusbandOf
Emperor Konstantinos X Doukas,"daughter of Konstantinos Dalassenos, first wife of Konstantinos X Doukas",Male,Female,HusbandOf
Konstantinos Dalassenos,wife of Konstantinos Dalassenos,Male,Female,HusbandOf
"Konstantinos Diogenes, father of Romanos IV","niece of Romanos III, wife of Konstantinos Diogenes and mother of Romanos IV",Male,Female,HusbandOf
"Konstantinos Karantenos, brother-in-law of Romanos III","sister of Romanos III, wife of Konstantinos Karantenos",Male,Female,HusbandOf
"Konstantinos Artoklines, katepano",wife of Konstantinos Artoklines,Male,Female,HusbandOf
"Konstantinos, nephew of patriarch Michael I Keroularios","second wife of Konstantinos, nephew of Michael Keroularios",Male,Female,HusbandOf
"Konstantinos, nephew of patriarch Michael I Keroularios","wife of Konstantinos, nephew of Michael Keroularios",Male,Female,HusbandOf
"Konstantinos, tax-payer at chorion of Dobrobikeia","Maritza, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
"Kyriakos, slave of Eustathios Boilas","wife of Kyriakos, a slave of Eustathios Boilas",Male,Female,HusbandOf
"Traulos, former Manichaean and servant of Alexios Komnenos",servant of Eirene Doukaina and first wife of Traulos,,,HusbandOf
"Traulos, former Manichaean and servant of Alexios Komnenos","second wife of Traulos, daughter of Pecheneg leader",,Female,HusbandOf
Emperor Michael IV Paphlagon,Empress Zoe,Male,Female,HusbandOf
Emperor Michael VII Doukas,"Maria of Alania, empress",Male,Female,HusbandOf
Michael Psellos (named Konstantinos till tonsure in 1054),wife of Michael Psellos,Male,Female,HusbandOf
"Michael, logothetes of the sekreta and gambros of the Komnenoi",niece of Alexios I (probably Anna Taronitissa),,,HusbandOf
"Michael Taronites, panhypersebastos","Maria Komnene, sister of Alexios I, wife of Michael Taronites",Male,Female,HusbandOf
"Anastasios Lizix, patrikios, krites and vestarches",widow of Anastasios Lizix,Male,Female,HusbandOf
"Michael, tax-payer at chorion of Dobrobikeia","Euphrosyne, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
"Nasr ibn Musharraf, Arab opponent of Antioch",wife of Nasr ibn Musharraf al-Rawadifi,Male,Female,HusbandOf
"Nesnanos, tax-payer at chorion of Dobrobikeia","Dragetza, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
Emperor Nikephoros III Botaneiates,"Bebdene, first wife of Nikephoros III Botaneiates",Male,Female,HusbandOf
Emperor Nikephoros III Botaneiates,"Maria of Alania, empress",Male,Female,HusbandOf
"Nikephoros Melissenos, kaisar","Eudokia Komnene, sister of Alexios I, wife of Nikephoros Melissenos",Male,Female,HusbandOf
"Nikephoros Bryennios, kaisar, husband of Anna Komnene","Anna Komnene, daughter of Alexios I and historian",Male,Female,HusbandOf
"Petros, tax-payer at chorion of Obilos","Maria, wife of a tax-payer in chorion of Obilos",Male,Female,HusbandOf
"Petros, tax-payer at chorion of Dobrobikeia","Loulana, wife of tax-payer at Dobrobikeia",Male,Male,HusbandOf
"Petros, tax-payer at chorion of Dobrobikeia","Maria, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
"Petros Blachos, tax-payer at chorion of Dobrobikeia","Helena, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
Hassan ibn al-Mufarrij ibn al-Jarrah (Pinzarach),sister of Sinan ibn 'Ulyan,Male,,HusbandOf
"Radomir, son of Samuel of Bulgaria","Eirene of Larissa, second wife of Radomir of Bulgaria",Male,Female,HusbandOf
Robert Guiscard,"Gaita/Sykelgaite, second wife of Robert Guiscard",Male,Female,HusbandOf
Robert Guiscard,"Auberee/Alberada of Buonalbergo, first wife of Robert Guiscard",Male,Female,HusbandOf
Emperor Romanos IV Diogenes,Empress Eudokia Makrembolitissa,Male,Female,HusbandOf
Emperor Romanos IV Diogenes,"first wife of Romanos IV, sister of Samuel Alousianos",Male,Female,HusbandOf
Roussel de Bailleul,wife of Roussel de Bailleul,Male,Female,HusbandOf
"Symbatios Pakourianos, kouropalates and patron of Iveron","Kale, wife of Symbatios Pakourianos",Male,Female,HusbandOf
Theodoros Dokeianos,wife of Theodoros Dokeianos,Male,Female,HusbandOf
"Theodoros Smolenetes, tax-payer at chorion of Dobrobikeia","Anna, wife of tax-payer at Dobrobikeia",Male,Female,HusbandOf
"Basileios, mentioned in synodal decision","Theodote, mentioned in synodal decision",Male,Female,HusbandOf
"Euphemios, involved in lawsuit about validity of marriage","Maria, involved in lawsuit about validity of marriage",Male,Female,HusbandOf
"Konstantinos Diogenes, son of Romanos IV","Theodora - Xene Komnene, sister of Alexios I Komnenos",Male,Female,HusbandOf
"Leon, mentioned in synodal decision","Mitze, daughter of Petros Bombylas",Male,Female,HusbandOf
Michael Attaleiates,"Sophia, first wife of Michael Attaleiates",Male,Female,HusbandOf
Michael Attaleiates,"Eirene, second wife of Michael Attaleiates",Male,Female,HusbandOf
"Petros Bombylas, mentioned in synodal decision","Kale, wife of Petros Bombylas",Male,Female,HusbandOf
"Andronikos Komnenos, son of Alexios I","Eirene, wife of Andronikos Komnenos (son of Alexios I)",Male,,HusbandOf
"Isaakios Komnenos, son of Alexios I","Eirene, wife of Isaakios Komnenos (son of Alexios I)",Male,,HusbandOf
"husband of Eirene, nun on Galesion","Eirene, widow from Ephesos, nun on Galesion",Male,Female,HusbandOf
host of Galesion monks on estates of monastery,woman who lured Galesion monk into sleeping with her,Male,Female,HusbandOf
priest of village on Mount Galesion,wife of village priest on Mount Galesion,Male,Female,HusbandOf
priest near Mount Galesion (?),wife of priest near Mount Galesion,Male,Female,HusbandOf
"Batatzes, husband of woman supporter of Bryennios","Batatzina, supporter of Bryennios at Raidestos in 1077",Male,Female,HusbandOf
"Theodoros Gabras, ruler of Trebizond",first wife of Theodoros Gabras,Male,Female,HusbandOf
"Theodoros Gabras, ruler of Trebizond","Alan princess, second wife of Theodoros Gabras",Male,Female,HusbandOf
Manuel Komnenos Erotikos,"Maria (?), wife of Manuel Komnenos Erotikos",Male,Female,HusbandOf
"Michael Iasites, husband of Eudokia, daughter of Alexios I","Eudokia, daughter of Alexios I Komnenos",Male,Female,HusbandOf
"Agapetos, paroikos at Berboulidion (Meander valley)","Eirene, wife of paroikos Agapetos at Berboulidion (Meander valley)",Male,Female,HusbandOf
"Goniates, husband of paroikos Helena at Gamma (Meander region)","Helena, paroikos at Gamma (Meander region)",Male,Female,HusbandOf
paroikos at Galaides (Meander valley),"Eirene, wife of paroikos at Galaides (Meander valley)",Male,Female,HusbandOf
"Bardas, paroikos at Baris (Meander valley)","Eirene, wife of paroikos Bardas at Baris (Meander valley)",Male,Female,HusbandOf
"Basileios Kateas, epoikos on Patmos","Anna, wife of epoikos Basileios Kateas of Patmos",Male,Female,HusbandOf
"Georgios, paroikos at Olynthos (Meander valley)","Eirene, wife of paroikos Georgios at Olynthos (Meander valley)",Male,Female,HusbandOf
"Chasanes (Hasan?), husband of paroikos Anna at Baris (Meander valley)","Anna, paroikos at Baris (Meander valley)",Male,Female,HusbandOf
"Georgios Tzibos, paroikos at Baris (Meander valley)","Anna, wife of paroikos Georgios Tzibos at Baris (Meander valley)",Male,Female,HusbandOf
"Georgios Arkoudas, paroikos at Baris (Meander valley)","Maria, wife of paroikos Georgios Arkoudas at Baris (Meander valley)",Male,Female,HusbandOf
"Ioannes Sapounas, husband of paroikos Maria at Olynthos (Meander valley)","Maria, paroikos at proasteion of Olynthos (Meander valley)",Male,Female,HusbandOf
"Georgios Phanterinos, paroikos at Olynthos (Meander valley)","Anna, wife  of paroikos Georgios Phanterinos at Olynthos (Meander valley)",Male,Female,HusbandOf
"Georgios, paroikos at Gamma (Meander region)","Eirene, wife of paroikos Georgios at Gamma (Meander region)",Male,Female,HusbandOf
"Georgios Phatyris, paroikos at Galaides (Meander valley)","Agathe, wife of paroikos Georgios Phatyris at Galaides (Meander valley)",Male,Female,HusbandOf
"Georgios Maurogeorgios, paroikos at Galaides (Meander valley)","Theriane, wife of paroikos Georgios Maurogeorgios at Galaides (Meander valley)",Male,Female,HusbandOf
"Georgios, paroikos at Melanoudion (Meander valley)","Anna, wife of paroikos Georgios at Melanoudion (Meander  valley)",Male,Female,HusbandOf
"Ioannes Skrinos, paroikos at Berboulidion (Meander valley)","Anna, wife of paroikos Ioannes Skrinos at Berboulidion (Meander valley)",Male,Female,HusbandOf
"Ioannes Tzamines, paroikos at Berboulidion (Meander valley)","Anna, wife of paroikos Ioannes Tzamines at Berboulidion (Meander valley)",Male,Female,HusbandOf
"Ioannes Agouritzes, paroikos at Galaides (Meander valley)","Anna, wife of paroikos Ioannes Agouritzes at Galaides (Meander valley)",Male,Female,HusbandOf
"Ioannes Koundoumas, epoikos on Patmos","Maria, wife of epoikos Ioannes Koundoumas of Patmos",Male,Female,HusbandOf
"Ioannes Bagianos, epoikos on Patmos","Anna, wife of epoikos Ioannes Bagianos of Patmos",Male,Female,HusbandOf
"Ioannes, epoikos on Patmos","Anna, wife of epoikos Ioannes of Patmos",Male,Female,HusbandOf
"Ioannes Psomozoules, epoikos on Patmos","Maria, wife of epoikos Ioannes Psomozoules of Patmos",Male,Female,HusbandOf
inn-keeper who defended reputation of Kyrillos of Philea,wife of inn-keeper who defended Kyrillos Phileotes,Male,Female,HusbandOf
"Kalos Patmiotes, epoikos on Patmos","Moscho, wife of epoikos Kalos on Patmos",Male,Female,HusbandOf
"Konstantinos Kallas, husband of paroikos Kalla at Baris (Meander valley)","Kalla, paroikos at Baris (Meander valley)",Male,Female,HusbandOf
"Konstantinos Kakoleon, paroikos at Berboulidion (Meander valley)","Maria, wife of paroikos Konstantinos Kakoleon at Berboulidion (Meander valley)",Male,Female,HusbandOf
"Konstantinos, paroikos at Galaides (Meander valley)","Eirene, wife of paroikos Konstantinos at Galaides (Meander valley)",Male,Female,HusbandOf
"Konstantinos Papadopolos, epoikos on Patmos","Eirene, wife of epoikos Konstantinos Papadopolos of Patmos",Male,Female,HusbandOf
"Kyriakos Psalidas, paroikos at Baris (Meander valley)","Theopempte, wife of paroikos Kyriakos Psalidas at Baris (Meander valley)",Male,Female,HusbandOf
"Kyriakos, paroikos at Olynthos (Meander valley)","Eirene, wife of paroikos Kyriakos at Olynthos (Meander valley)",Male,Female,HusbandOf
"Kyriakos, epoikos on Patmos","Maria, wife of epoikos Kyriakos of Patmos",Male,Female,HusbandOf
"Kyriakos Tzimischis, epoikos on Patmos","Eirene, wife of epoikos Kyriakos Tzimischis of Patmos",Male,Female,HusbandOf
"Leon, paroikos at Galaides (Meander valley)","Eirene, wife of paroikos Leon at Galaides (Meander valley)",Male,Female,HusbandOf
"Michael Chinarios, paroikos at Baris (Meander valley)","Anna, wife of paroikos Michael Chinarios at Baris (Meander valley)",Male,Female,HusbandOf
"Moschos, paroikos at Baris (Meander valley)","Maria, wife of paroikos Moschos at Baris (Meander valley)",Male,Female,HusbandOf
"Nikephoros, paroikos at Mantrakle (Meander valley)","Kissiane, wife of paroikos Nikephoros at Mantrakle (Meander valley)",Male,Female,HusbandOf
"Niketas Kateas, epoikos on Patmos","Maria, wife of epoikos Niketas Kateas of Patmos",Male,Female,HusbandOf
"Nikolaos, paroikos at Olynthos (Meander valley)","Elizabeth, wife of paroikos Nikolaos at Olynthos (Meander valley)",Male,Female,HusbandOf
"Petros, paroikos at Galaides (Meander valley)","Kale, wife of paroikos Petros at Galaides (Meander valley)",Male,Female,HusbandOf
"Petros Kalabros, paroikos at Melanoudion (Meander valley)","Theopempte, wife of paroikos Petros Kalabros at Melanoudion (Meander valley)",Male,Female,HusbandOf
"Photeinos, husband of paroikos Kale at Gamma (Meander region)","Kale, paroikos at Gamma (Meander region)",Male,Male,HusbandOf
"Stephanos Ptailaites, paroikos at Gamma (Meander region)","Adriane, wife of paroikos Stephanos Ptailaites at Gamma (Meander region)",Male,Female,HusbandOf
"Strategos, paroikos at Olynthos (Meander valley)","Eirene, wife of paroikos Strategos at Olynthos (Meander valley)",Male,Female,HusbandOf
"Theodoulos, paroikos at Baris (Meander valley)","Maria, wife of paroikos Theodoulos at Baris (Meander valley)",Male,Female,HusbandOf
"Theodoros, furrier at Thessalonike","Maria, landowner at Thessalonike",Male,Female,HusbandOf
"Nikephoros Kephalas, proedros and Lavra donor",first wife of proedros Nikephoros Kephalas,Male,Female,HusbandOf
"Nikephoros Kephalas, proedros and Lavra donor",second wife of proedros Nikephoros Kephalas,Male,Female,HusbandOf
"Konstantinos Lagoudes, donor of land to Lavra","Maria Lagoudia, donor of land to Lavra",Male,Female,HusbandOf
elder brother of Michael Keroularios,wife of brother of Michael Keroularios,Male,Female,HusbandOf
notarios of Thrakesion,wife of notarios of Thrakesion,Male,Female,HusbandOf
Theodoros Kamateros,"Maria, wife of Theodoros Kamateros",Male,Female,HusbandOf
Photios the Athenian,widow of Photios the Athenian,Male,Female,HusbandOf
"Panaretos, spatharios","Eudokia, wife of Panaretos spatharios",Male,Female,HusbandOf
"Leon droungarios, husband of Meleto","Meleto, widow of Leon droungarios",Male,Female,HusbandOf
Leon Pardos,"Theodora, widow of Leon Pardos",Male,Female,HusbandOf
"Nikephoros Katakalon Euphorbenos, son-in-law of Alexios I","Maria, daughter of Alexios I Komnenos",,Female,HusbandOf
Rendakios the Athenian,"Helene, widow of Rendakios the Athenian",Male,Female,HusbandOf
"Gerontas, kandidatos","Homonaia, widow of Gerontas kandidatos",Male,Male,HusbandOf
"Hypatios, komes, husband of Meleto","Meleto, widow of Komes Hypatios",Male,Female,HusbandOf
Agallianos Micheas,wife of Agallianos Micheas,Male,Female,HusbandOf
distinguished Arab prince,pregnant wife of distinguished Arab prince,Male,Female,HusbandOf
"Thoros, doux of Edessa","wife of Thoros, doux of Edessa",Male,,HusbandOf
"Adralestos, prominent person in Bari","Rodia, wife of Adralestos",Male,Female,HusbandOf
father of Michael Psellos,"Theodote, mother of Michael Psellos",Male,Female,HusbandOf
"husband of Maria, daughter of Michael","Maria, daughter of Michael (brother of kouboukleisios Leon)",Male,Female,HusbandOf
Balak ibn Bahram ibn Artuq,wife of Balak of Khanzit,Male,,HusbandOf
"Baldwin of Boulogne, Baldwin I, king of Jerusalem","Godehilde of Tosny, wife of Baldwin I of Boulogne",Male,Female,HusbandOf
"Baldwin of Boulogne, Baldwin I, king of Jerusalem",Armenian second wife [Arda?] of Baldwin I of Jerusalem,Male,Female,HusbandOf
"Baldwin of Boulogne, Baldwin I, king of Jerusalem","Adelaide of Salona, countess of Sicily, queen of Jerusalem",Male,Female,HusbandOf
"Baldwin of Bourcq, Baldwin II, king of Jerusalem","Morphia, countess of Edessa, queen of Jerusalem",Male,Female,HusbandOf
"Baldwin of Mons, count of Hainault",[Ida] of Louvain,Male,Female,HusbandOf
"Fulk IV, count of Touraine and Anjou, father of king Fulk","Bertrade de Montfort, mother of king Fulk of Jerusalem",Male,Female,HusbandOf
Guy of Hauteville,wife of Guy of Hauteville,Male,,HusbandOf
"Henry, duke of Normandy and count of Anjou, later Henry II, king of England","Eleanor of Aquitaine, queen of Louis VII, then of Henry II",Male,,HusbandOf
"Hugh of Le Puiset, count of Jaffa","Mabel of Roucy, wife of count Hugh of Jaffa",Male,Female,HusbandOf
"Joscelin I of Courtenay, count of Edessa","(Maria), sister of Roger of Salerno, wife of Joscelin I of Edessa",Male,,HusbandOf
"Philip I, king of France","(Bertha, countess of Holland), first wife of Philip I of France",Male,,HusbandOf
"Pons, count of Tripoli","Cecilia of France, wife of Tancred of Hauteville, then of Pons of Tripoli",Male,Female,HusbandOf
"Raymond of Saint-Gilles, count of Toulouse","Elvira of Leon-Castile, wife of Raymond of Toulouse",Male,Female,HusbandOf
"Roger of Salerno, prince (regent?) of Antioch","Cecilia of Bourcq, sister of Baldwin II, wife of Roger of Antioch",Male,,HusbandOf
Roger I of Sicily,"Adelaide of Salona, countess of Sicily, queen of Jerusalem",Male,Female,HusbandOf
"Tancred of Hauteville, nephew of Bohemond of Taranto","Cecilia of France, wife of Tancred of Hauteville, then of Pons of Tripoli",Male,Female,HusbandOf
William of Grandmesnil,second sister of Bohemond of Taranto,Male,Female,HusbandOf
Yaghi Siyan of Antioch  ,wife of Yaghi Siyan of Antioch,Male,Female,HusbandOf
"Euboulos, son-in-law of Robert Guiscard (count Ebalus of Roucy?)","daughter of Robert Guiscard, wife of count Euboulos (Ebalus of Roucy?)",Male,Female,HusbandOf
"Ioannes Solomon, senator involved in rebellion of Anemas",wife of Ioannes Solomon (implicated in Anemas plot),Male,Female,HusbandOf
Qilij Arslan ibn Sulayman ibn Qutlumish,wife of Qilij Arslan I,Male,Female,HusbandOf
"Marianos Maurokatakalon, military commander","sister of Nikephoros Bryennios, wife of Marianos Maurokatakalon",Male,,HusbandOf
"Raymond Berengar, son of count of Barcelona","daughter of Robert Guiscard, married to Raymond of Barcelona",Male,Female,HusbandOf
Romanised barbarian,second wife of Romanised barbarian,Male,Female,HusbandOf
donor to monastery of Nea Kome,wife of donor to monastery of Nea Kome,Male,Female,HusbandOf
nephew of a droungarios,wife of the nephew of a droungarios,Male,Female,HusbandOf
"Kamateros (Kakateros ?), manglabites",wife of manglabites Kam(k)ateros,Male,Female,HusbandOf
husband of the daughter of Diatimorites,daughter of Diatimorites,Male,Female,HusbandOf
Mororeon (?),second wife of Mororeon,Male,Female,HusbandOf
"Arotras, who sued his son for marrying without permission",wife of Arotras,Male,Female,HusbandOf
son of Arotras,wife of the son of Arotras,Male,Female,HusbandOf
"Kamelaukas, protospatharios",first wife of Kamelaukas,Male,Female,HusbandOf
